prefecture,date,positive,death,mobility,gdp,population,gop
Aichi,21937,1,0,,100.0000048738966,7537000,102.0563
Aichi,21944,1,0,,99.64363657331667,7537000,101.7435285714286
Aichi,21951,0,0,,98.75271582186689,7537000,100.9616
Aichi,21958,3,0,-7,98.75271582186689,7537000,100.9616
Aichi,21965,12,0,-.75,98.75271582186689,7537000,100.9616
Aichi,21972,15,0,-3.5,98.21301547316163,7537000,100.0489857142857
Aichi,21979,48,1,-7.75,94.9748133809301,7537000,94.5733
Aichi,21986,41,11,-4.5,94.9748133809301,7537000,94.5733
Aichi,21993,22,4,-1.75,94.9748133809301,7537000,94.5733
Aichi,22000,24,3,-4,94.9748133809301,7537000,94.5733
Aichi,22007,61,1,-5.5,86.33277689338614,7537000,89.15587142857143
Aichi,22014,99,4,-8.75,82.87596229836855,7537000,86.98889999999999
Aichi,22021,82,1,-20.75,82.87596229836855,7537000,86.98889999999999
Aichi,22028,68,6,-27.5,82.87596229836855,7537000,86.98889999999999
Aichi,22035,15,3,-24.5,80.59913108369393,7537000,84.54462857142858
Aichi,22042,9,0,-28.25,77.56335613079443,7537000,81.2856
Aichi,22049,8,0,-21.25,77.56335613079443,7537000,81.2856
Aichi,22056,1,0,-17.75,77.56335613079443,7537000,81.2856
Aichi,22063,1,0,-14,77.56335613079443,7537000,81.2856
Aichi,22070,3,0,-11.5,84.71979417421299,7537000,85.92679999999999
Aichi,22077,5,0,-16.5,84.71979417421299,7537000,85.92679999999999
Aichi,22084,7,0,-8,84.71979417421299,7537000,85.92679999999999
Aichi,22091,0,0,-9.75,84.71979417421299,7537000,85.92679999999999
Aichi,22098,2,0,-11.75,87.74990079437542,7537000,89.52430000000001
Aichi,22105,6,0,-16,88.9619434424404,7537000,90.9633
Aichi,22112,109,0,-15,88.9619434424404,7537000,90.9633
Aichi,22119,460,1,-14.75,88.9619434424404,7537000,90.9633
Aichi,22126,1073,0,-12,89.42117314961042,7537000,91.8275
Aichi,22133,1018,2,-13,90.56924741753552,7537000,93.98799999999999
Aichi,22140,607,7,-17,90.56924741753552,7537000,93.98799999999999
Aichi,22147,449,13,-15.75,90.56924741753552,7537000,93.98799999999999
Aichi,22154,307,8,-14.25,90.56924741753552,7537000,93.98799999999999
Aichi,22161,206,9,-14.75,93.2830530856784,7537000,95.55571428571429
Aichi,22168,200,2,-14.5,93.73535403036888,7537000,95.81699999999999
Aichi,22175,206,5,-7,93.73535403036888,7537000,95.81699999999999
Aichi,22182,187,2,-10.25,93.73535403036888,7537000,95.81699999999999
Aichi,22189,147,3,-7.5,95.0611988649345,7537000,97.40551428571429
Aichi,22196,102,5,-11.5,96.05558249085871,7537000,98.59690000000001
Aichi,22203,146,0,-6.5,96.05558249085871,7537000,98.59690000000001
Aichi,22210,184,1,-5.75,96.05558249085871,7537000,98.59690000000001
Aichi,22217,406,4,-6.75,95.98689617470242,7537000,98.53218571428572
Aichi,22224,537,2,-8.25,95.57477827776462,7537000,98.14390000000002
Aichi,22231,834,2,-7.25,95.57477827776462,7537000,98.14390000000002
Aichi,22238,1118,6,-7.75,95.57477827776462,7537000,98.14390000000002
Aichi,22245,1186,10,-9,95.57477827776462,7537000,98.14390000000002
Aichi,22252,1324,16,-9.75,94.69765479971061,7537000,96.4423
Aichi,22259,1382,12,-10.25,94.55146755336828,7537000,96.15869999999998
Aichi,22266,1425,19,-12.75,94.55146755336828,7537000,96.15869999999998
Aichi,22273,1537,32,-12.75,94.55146755336828,7537000,96.15869999999998
Aichi,22280,1426,32,-35.5,94.85327833619235,7537000,95.51687142857143
Aichi,22287,2330,48,-19.5,95.25569271329108,7537000,94.66110000000002
Aichi,22294,1854,48,-19,95.25569271329108,7537000,94.66110000000002
Aichi,22301,1569,41,-21.75,95.25569271329108,7537000,94.66110000000002
Aichi,22308,1186,36,-20,95.25569271329108,7537000,94.66110000000002
Aichi,22315,674,50,-21.25,93.72330060852906,7537000,94.717
Aichi,22322,508,28,-18.5,93.72330060852906,7537000,94.717
Aichi,22329,367,28,-19,93.72330060852906,7537000,94.717
Aichi,22336,291,12,-14.5,93.72330060852906,7537000,94.717
Aichi,22343,301,23,-15.5,95.45356455361642,7537000,95.1716
Aichi,22350,288,15,-12,95.45356455361642,7537000,95.1716
Aichi,22357,267,14,-10.25,95.45356455361642,7537000,95.1716
Aichi,22364,455,5,-5.75,95.45356455361642,7537000,95.1716
Aichi,22371,655,15,-2.75,95.45356455361643,7537000,94.82337142857143
Aichi,22378,987,14,-9.25,,7537000,94.56219999999999
Aichi,22385,1385,8,-12.25,,7537000,94.56219999999999
Aichi,22392,1768,7,-8.75,,7537000,94.56219999999999
Aichi,22399,2229,14,-14.5,,7537000,94.32074285714285
Aichi,22406,2525,20,-14.25,,7537000,93.71709999999999
Aichi,22413,4022,19,-14.75,,7537000,93.71709999999999
Aichi,22420,3805,44,-20.75,,7537000,93.71709999999999
Aichi,22427,2568,69,-12.5,,7537000,93.71709999999999
Aichi,22434,1678,58,-12.25,,7537000,93.2911857142857
Aichi,22441,1059,47,-12.25,,7537000,93.22019999999999
Aichi,22448,631,43,-14,,7537000,93.22019999999999
Aichi,22455,459,22,-11.5,,7537000,93.22019999999999
Aichi,22462,324,16,-11.75,,7537000,93.22020000000002
Akita,21937,0,0,,100.0000004717201,981000,102.0563
Akita,21944,0,0,,99.96141049070984,981000,101.9488714285714
Akita,21951,0,0,,99.86493553818421,981000,101.6803
Akita,21958,0,0,4.875,99.86493553818421,981000,101.6803
Akita,21965,0,0,.5,99.86493553818421,981000,101.6803
Akita,21972,0,0,1.75,99.22581294090465,981000,101.06947
Akita,21979,2,0,-7.25,95.39107735722715,981000,97.40449
Akita,21986,0,0,-2.25,95.39107735722715,981000,97.40449
Akita,21993,0,0,-4,95.39107735722715,981000,97.40449
Akita,22000,2,0,2.25,95.39107735722715,981000,97.40449
Akita,22007,7,0,-3.5,90.27401917652682,981000,93.59778285714286
Akita,22014,4,0,-6.25,88.22719590424671,981000,92.07510000000001
Akita,22021,1,0,-5.75,88.22719590424671,981000,92.07510000000001
Akita,22028,0,0,-14.5,88.22719590424671,981000,92.07510000000001
Akita,22035,0,0,-10,87.01854521363398,981000,91.06190571428571
Akita,22042,0,0,-4,85.4070109594837,981000,89.71097999999999
Akita,22049,0,0,.75,85.4070109594837,981000,89.71097999999999
Akita,22056,0,0,-2.25,85.4070109594837,981000,89.71097999999999
Akita,22063,0,0,6.75,85.4070109594837,981000,89.71097999999999
